캠퍼스,캠퍼스위치,학과명,전공직종,전공계열구분,과정구분,기간(개월),주간야간구분,전공설명,전공성향
신기술,전북 전주시,스마트전기에너지과,EMS/ESS직종,전기계열,하이테크과정,10,주간,"태양광·풍력 등 신재생 에너지의 효율적인 관리와 저장 시스템(BMS, PCS 등)을 설계하고 유지보수하는 미래 에너지 제어 전문가 양성 과정입니다",정밀함/통찰력/실천력
신기술,전북 전주시,스마트자동화과,스마트팩토리직종,자동화계열,하이테크과정,10,주간,제조 현장의 모든 설비에 정보통신기술(ICT)을 접목하여 실시간 제어와 지능형 공정 자동화를 구축·운영하는 융합 기술 전문가 양성 과정입니다.,융합성/최적화/현장감
신기술,전북 전주시,스마트자동화과,전기설비제어직종(s),자동화계열,하이테크과정,6,주간,"전력 공급을 위한 수변전 설비부터 내선 공사, 자동 제어 시스템(PLC)까지 전기 에너지를 안전하고 효율적으로 운용하는 실무 기술 전문가 양성 과정입니다.",안정성/논리력/응용력
서울정수,서울 용산구,그린에너지설비과,그린공조냉동설비전공,정보없음,2년제학위과정,12,주간,"친환경 에너지를 활용하여 쾌적한 실내 환경을 조성하는 냉난방 시스템과 산업용 냉동 장치를 설계, 시공 및 유지관리하는 에너지 제어 전문가 양성 과정입니다.",세밀함/책임감/기술적 유연성
서울정수,서울 용산구,그린에너지설비과,신재생에너지설비전공,정보없음,2년제학위과정,12,주간,"태양광·풍력·지열 등 자연 에너지를 효율적으로 전기 및 열에너지로 변환하는 설비를 설계, 시공 및 유지보수하는 실무 중심의 기술 전공입니다.",문제해결력/환경친화성/기술융합력
서울정수,서울 용산구,메카트로닉스과,PC기반모션제어전공,자동화계열,2년제학위과정,12,주간,산업용 PC와 PLC를 활용하여 반도체 장비나 로봇의 정밀한 움직임을 구현하는 제어 프로그래밍 및 자동화 시스템 구축 기술을 배우는 전공입니다.,정밀함/논리력/현장성
서울정수,서울 용산구,메카트로닉스과,PLC제어전공,자동화계열,2년제학위과정,12,주간,산업 현장의 자동화 라인을 가동하기 위해 컴퓨터 프로그래밍(PLC)으로 기계 장치의 동작 순서와 흐름을 제어하는 자동화 시스템 구축 기술을 배우는 전공입니다.,인과관계/집중력/응용력
서울정수,서울 용산구,메카트로닉스과,로봇시스템전공,자동화계열,2년제학위과정,12,주간,"산업용 로봇과 협동 로봇의 기구부 설계부터 제어 소프트웨어 개발 및 유지보수까지, 로봇 자동화 공정 전반을 아우르는 기술을 배우는 전공입니다.",공간지각력/창의성/협동심
서울정수,서울 용산구,시각디자인과,디지털디자인전공,디자인계열,2년제학위과정,12,주간,"사용자 경험(UX/UI)을 바탕으로 웹, 모바일, 영상 등 다양한 디지털 매체에 필요한 시각 콘텐츠를 기획하고 제작하는 기술을 배우는 전공입니다.",공감능력/미적감각/유연성
서울정수,서울 용산구,시각디자인과,비주얼디자인전공,디자인계열,2년제학위과정,12,주간,"그래픽 디자인의 기본 원리를 바탕으로 광고, 브랜딩, 패키지, 출판 등 정보를 시각화하여 메시지를 효과적으로 전달하는 인쇄 및 영상 매체 디자인을 배우는 전공입니다.",표현력/디테일/전달력
