연번,훈련기관명,훈련기관위치,주소,위도,경도,훈련기관계열구분
1,뉴하나컴퓨터학원,전남 여수,"(59673) 전라남도 여수시 시청로 21 (학동 김재민내과, 창성약국) 3층, 뉴하나컴퓨터학원",127.6625966,34.76360007,IT계열
2,문영미 커피문화 아카데미 학원,전북 전주,(560833) 전라북도 전주시 완산구 백제대로 332 4층,127.1232257,35.82269319,식품·외식계열
3,PLC에듀학원,경기 안양,(431824) 경기도 안양시 동안구 평촌대로374번길 17 비산동 1038-18 2층전체,126.9506682,37.40397043,전기·전자계열
4,이삭엔지니어링(주),경기 군포,(15881) 경기도 군포시 군포첨단산업1로 15 (부곡동 이삭엔지니어링) 이삭엔지니어링(주),,,전기·전자계열
5,본메디간호학원,경남 양산,(50629) 경상남도 양산시 양산역2길 7 (중부동 대상골드타워) 4층(402호),129.0279168,35.33553529,보건계열
6,(사)한국환경산업협회,서울 중구,"(04505) 서울특별시 중구 서소문로 38(중림동, 센트럴타워) 703~705호",126.9662603,37.56045309,환경계열
7,에이치아카데미 D&D교육센터,서울 서대문구,"(03780) 서울특별시 서대문구 신촌로 141(대현동, 위고인 호스텔) 1층 101호, 2층 201호, 202호, 203호, 4층 403호",126.9416035,37.5570287,디자인계열
8,주식회사광주중장비학원,광주 광산구,(506053) 광주광역시 광산구 하남지실길 46-2 광주중장비학원,126.7982439,35.16815703,기계·중장비계열
9,거제배관특수용접학원,경남 거제,(53323) 경상남도 거제시 장승로 68 (장승포동) 거제배관특수용접학원,128.7232112,34.86097066,건설·용접계열
10,포항중앙평생교육원,경북 포항,(37681) 경상북도 포항시 남구 대이로60번길 16-5 2층,129.3429052,36.02068325,종합계열
11,경기스마트고등학교,경기 시흥,(15051) 경기도 시흥시 정왕천로 404 (정왕동 경기스마트고등학교) 경기스마트고등학교,126.7520001,37.34314087,종합계열
12,강남대학교산학협력단,경기 용인,(16979) 경기도 용인시 기흥구 강남로 40 (구갈동 강남대학교) 강남대학교,127.1319595,37.27540845,종합계열
13,수원직업전문학교,경기 수원,"(16489) 경기도 수원시 팔달구 권광로207번길 13 (2, 4, 5층)",,,종합계열
14,쇼콜라띠에제과제빵직업전문학교,경기 수원,"(443814) 경기도 수원시 영통구 청명남로28번길 2 501호, 705호 일부, 706호(영통동, 아이텐텐빌딩)",127.0754936,37.25179551,식품·외식계열
15,두리미용직업전문학교 ,경기 오산,"(18138) 경기도 오산시 원동 오산로240번길 27(수라상) 지하(전체),1층(일부),2층(전체)",127.0714774,37.1482505,미용계열
16,이제이커피학원,인천 서구,"(22722) 인천광역시 서구 서곶로 347 (연희동) KM빌딩 2층일부, 3층일부",126.6768082,37.54852916,식품·외식계열
17,실버엔젤요양보호사교육원,경기 김포,(415711) 경기도 김포시 북변중로65번길 4-8 실버엔젤요양보호사교육원,126.7087757,37.62633135,복지계열
18,범계간호학원,경기 안양,(14047) 경기도 안양시 동안구 시민대로 187 (비산동 안양건설타워) 1201호 일부,126.9516478,37.39169011,보건계열
19,(사)산림문화콘텐츠연구소,서울 종로구,(110052) 서울특별시 종로구 자하문로2길 18 4층,126.9736076,37.57628456,보건계열
20,용산여성인력개발센터,서울 용산구,(04370) 서울특별시 용산구 청파로 139-21 산 7-2번지,126.9663602,37.53475616,환경계열
21,구립영등포노인케어센터,서울 영등포구,(07296) 서울특별시 영등포구 도림로 482 ,,,종합계열
22,탑평생교육원,서울 구로구,(08269) 서울특별시 구로구 경인로 187 (오류동 오류동 삼전솔하임) 202호,126.8416847,37.49551278,종합계열
23,(주)엠비씨플레이비,서울 송파구,(138721) 서울특별시 송파구 잠실3동 키자니아,,,교육·문화계열
24,영등포리더스간호학원,서울 영등포구,(150035) 서울특별시 영등포구 영중로 46 홍익빌딩 3층,126.9052265,37.52043175,보건계열
25,프레이즈요양보호사교육원,서울 동작구,(06956) 서울특별시 동작구 상도로26길 12 (상도동 명진 빌딩) 401호,,,복지계열
26,새한전기기술사학원,서울 영등포구,(07354) 서울특별시 영등포구 영등포로 400 (신길동 신성빌딩) 4층,126.9225304,37.5129035,전기·전자계열
27,미래디지털 원격평생교육원,서울 강서구,"(07667) 서울특별시 강서구 등촌동 등촌로51길 14(태진빌딩) 502호, 501호일부",126.8625893,37.54912888,종합계열
28,현대요양보호사교육원,경기 하남,(465810) 경기도 하남시 대청로 33 현대베스코아 1003호,127.2159544,37.54101166,복지계열
29,에듀윌 국비교육원 성남센터,경기 성남,"(13376) 경기도 성남시 중원구 성남대로 1129 (성남동 하나빌딩) 6층 일부, 7층",127.1289937,37.43035923,종합계열
30,군산대학교 산학협력단,전북 군산,(573701) 전라북도 군산시 대학로 558 산학협력관 2층 산학협력단,126.6814869,35.94694653,종합계열
31,예스커피제과제빵학원,대전 서구,"(35368) 대전광역시 서구 계백로 1149 (가수원동 효진빌딩) 403,404호",127.3508354,36.30494546,식품·외식계열
32,모아소방전기학원,서울 영등포구,"(07301) 서울특별시 영등포구 영신로32길 29 (영등포동4가) 2층 일부, 3층 일부",126.9043461,37.51898042,건설·전기계열
33,진주용접학원,경남 진주,(52820) 경상남도 진주시 진주대로 620-4 (가좌동) 3층,128.1070162,35.16173018,건설·용접계열
34,(주)피알원,서울 서대문구,(120020) 서울특별시 서대문구 충정로 70 19층 (주) 피알원,126.9663682,37.56483106,종합계열
35,부산포시드직업전문학교,부산 부산진구,"(47213) 부산광역시 부산진구 중앙대로 917 (양정동) 4F, 5F",,,종합계열
